id,stage,question_id,person_id,rank
1225,2,25,80,important
1226,2,188,80,important
1227,2,217,80,vimportant
1228,2,74,80,indifferent
1229,2,174,80,important
1230,2,127,80,important
1231,2,156,80,important
1232,2,100,80,important
1233,2,230,80,important
1234,2,187,80,important
1235,2,116,80,important
1236,2,186,80,important
1237,2,103,80,important
1238,2,41,80,vimportant
1239,2,153,80,important
1240,2,354,80,important
1241,1,339,136,unimportant
1242,1,95,136,important
1243,1,10,136,vimportant
1244,1,56,136,important
1245,1,374,136,important
1246,1,240,136,indifferent
1247,1,342,136,important
1248,1,99,136,vimportant
1249,1,105,136,important
1250,1,188,136,important
1251,1,291,136,indifferent
1252,1,272,136,vimportant
1253,1,150,136,indifferent
1254,1,378,136,important
1255,1,103,136,important
1256,1,18,136,important
1257,1,163,136,indifferent
1258,1,182,136,indifferent
1259,1,392,136,important
1260,1,274,136,indifferent
1261,2,277,136,indifferent
1262,2,34,136,important
1263,2,382,136,important
1264,2,257,136,vimportant
1265,2,235,136,vimportant
1266,2,184,136,indifferent
1267,2,359,136,vimportant
1268,2,191,136,indifferent
1269,2,304,136,indifferent
1270,2,352,136,indifferent
1271,2,183,136,important
1272,2,31,136,vimportant
1273,2,83,136,vimportant
1274,2,230,136,important
1275,2,283,136,important
1276,2,164,136,important
1277,2,26,136,vimportant
1278,2,222,136,indifferent
1279,2,153,136,indifferent
1280,2,100,136,vimportant
1281,1,84,127,vunimportant
1282,1,156,127,vunimportant
1283,1,33,127,vunimportant
1284,1,134,127,vunimportant
1285,1,319,127,indifferent
1286,1,162,127,vunimportant
1287,1,7,127,vunimportant
1288,1,397,127,vunimportant
1289,1,83,127,indifferent
1290,1,307,127,indifferent
1291,1,295,127,indifferent
1292,1,151,127,important
1293,1,257,127,important
1294,1,303,127,vimportant
1295,1,128,127,vimportant
1296,1,227,127,vimportant
1297,1,230,127,vimportant
1298,1,118,127,indifferent
1299,1,226,127,vimportant
1300,1,268,127,indifferent
1301,2,261,127,
1302,2,377,127,
1303,2,141,127,
1304,2,117,127,
1305,2,288,127,
1306,2,396,127,
1307,2,251,127,
1308,2,392,127,
1309,2,310,127,
1310,2,342,127,
1311,2,92,127,
1312,2,380,127,
1313,2,98,127,
1314,2,358,127,
1315,2,36,127,
1316,2,29,127,
1317,2,184,127,
1318,2,80,127,
1319,2,299,127,
1320,2,292,127,
1321,1,190,64,important
1322,1,303,64,important
1323,1,230,64,vimportant
1324,1,321,64,important
1325,1,316,64,unimportant
1326,1,60,64,indifferent
1327,1,125,64,indifferent
1328,1,80,64,important
1329,1,134,64,unimportant
1330,1,151,64,vimportant
1331,1,342,64,indifferent
1332,1,88,64,important
1333,1,322,64,unimportant
1334,1,73,64,dont_understand
1335,1,210,64,unimportant
1336,1,142,64,vimportant
1337,1,23,64,important
1338,1,196,64,important
1339,1,282,64,vimportant
1340,1,51,64,important
1341,2,227,64,important
